FieldID,Name,Level,PaperCount,Domain,Domain_1
54286561,Agroforestry,1,"615,806","Life, Behavioral, and Ecological Sciences",
53553401,Genealogy,1,"262,168","Life, Behavioral, and Ecological Sciences",Social Sciences
49204034,Climatology,1,"467,890",Physical and Mathematical Sciences,
49040817,Optoelectronics,1,"1,695,828",Physical and Mathematical Sciences,Engineering and Computer Science
48824518,Agricultural economics,1,"228,967",Social Sciences,
46312422,Communication,1,"304,534",Social Sciences,
46141821,Nuclear magnetic resonance,1,"1,960,112",Engineering and Computer Science,
44870925,Astrophysics,1,"727,581",Physical and Mathematical Sciences,
44154836,Simulation,1,"1,104,625",Engineering and Computer Science,
43617362,Chromatography,1,"2,783,839",Physical and Mathematical Sciences,Engineering and Computer Science
42972112,Veterinary medicine,1,"425,297",Medicine,
42475967,Operations research,1,"345,320",Social Sciences,Engineering and Computer Science
42407357,Physiology,1,"256,982","Life, Behavioral, and Ecological Sciences",Medicine
42360764,Chemical engineering,1,"1,120,992",Engineering and Computer Science,
42219234,Anesthesia,1,"2,008,778",Medicine,
41999313,Molecular physics,1,"219,712",Physical and Mathematical Sciences,
41895202,Linguistics,1,"980,328",Social Sciences,
39549134,Public relations,1,"1,304,889",Social Sciences,
39432304,Environmental science,0,"3,671,076","Life, Behavioral, and Ecological Sciences",
38652104,Computer security,1,"628,633",Engineering and Computer Science,
37914503,Mathematical physics,1,"159,804",Physical and Mathematical Sciences,
37621935,Agricultural science,1,"142,135","Life, Behavioral, and Ecological Sciences",
37037264,Hydrology,1,"645,825",Engineering and Computer Science,
33923547,Mathematics,0,"7,062,334",Physical and Mathematical Sciences,
33332235,Theoretical physics,1,"106,209",Physical and Mathematical Sciences,
33070731,Toxicology,1,"250,528",Medicine,
31972630,Computer vision,1,"2,032,323",Engineering and Computer Science,
31903555,Food science,1,"1,048,831","Life, Behavioral, and Ecological Sciences",Engineering and Computer Science
31258907,Computer network,1,"1,916,282",Engineering and Computer Science,
30475298,Computational physics,1,"242,153",Physical and Mathematical Sciences,Engineering and Computer Science
29694066,Orthodontics,1,"344,015",Medicine,
29595303,Media studies,1,"1,028,272",Social Sciences,
29456083,Gynecology,1,"818,159",Medicine,
28490314,Speech recognition,1,"580,709",Engineering and Computer Science,
27206212,Theology,1,"770,202",Social Sciences,
26873012,Condensed matter physics,1,"1,318,929",Physical and Mathematical Sciences,
24890656,Acoustics,1,"1,737,207",Engineering and Computer Science,
24667770,Religious studies,1,"1,073,924",Social Sciences,
24326235,Electronic engineering,1,"4,920,613",Engineering and Computer Science,
23123220,Information retrieval,1,"419,892",Engineering and Computer Science,
22212356,Transport engineering,1,"393,425",Engineering and Computer Science,
21880701,Process engineering,1,"194,549",Engineering and Computer Science,Social Sciences
21547014,Operations management,1,"919,603",Social Sciences,Engineering and Computer Science
19527891,Medical physics,1,"224,696",Medicine,Physical and Mathematical Sciences
19417346,Pedagogy,1,"2,667,023",Social Sciences,
19165224,Anthropology,1,"590,632",Social Sciences,"Life, Behavioral, and Ecological Sciences"
18903297,Ecology,1,"2,029,478","Life, Behavioral, and Ecological Sciences",
17744445,Political science,0,"4,910,012",Social Sciences,
17409809,Geochemistry,1,"366,617",Physical and Mathematical Sciences,
16685009,Andrology,1,"109,059",Medicine,
16674752,Mining engineering,1,"242,046",Engineering and Computer Science,
16005928,Dermatology,1,"581,033",Medicine,
15744967,Psychology,0,"7,200,064",Social Sciences,"Life, Behavioral, and Ecological Sciences"
13965031,Nuclear chemistry,1,"621,518",Physical and Mathematical Sciences,
13736549,Industrial engineering,1,"48,811",Engineering and Computer Science,
13280743,Geodesy,1,"176,417",Physical and Mathematical Sciences,Engineering and Computer Science
12554922,Biophysics,1,"213,071",Physical and Mathematical Sciences,"Life, Behavioral, and Ecological Sciences"
11413529,Algorithm,1,"749,045",Engineering and Computer Science,
10138342,Finance,1,"851,613",Social Sciences,
9390403,Computer hardware,1,"2,610,872",Engineering and Computer Science,
8058405,Geophysics,1,"564,156",Physical and Mathematical Sciences,
8010536,Crystallography,1,"635,837",Engineering and Computer Science,Physical and Mathematical Sciences
6557445,Agronomy,1,"1,430,820","Life, Behavioral, and Ecological Sciences",Engineering and Computer Science
5900021,Petrology,1,"225,271",Physical and Mathematical Sciences,
3116431,Public administration,1,"1,325,398",Social Sciences,
3079626,Quantum electrodynamics,1,"533,377",Physical and Mathematical Sciences,
2989005,Nuclear medicine,1,"296,222",Medicine,
2549261,Ethnology,1,"736,860",Social Sciences,"Life, Behavioral, and Ecological Sciences"
2524010,Geometry,1,"608,734",Physical and Mathematical Sciences,
1965285,Earth science,1,"58,973",Physical and Mathematical Sciences,
1862650,Physical therapy,1,"2,408,535",Medicine,
1276947,Astronomy,1,"914,188",Physical and Mathematical Sciences,
459310,Computational science,1,"101,008",Physical and Mathematical Sciences,Engineering and Computer Science
40700,Industrial organization,1,"151,420",Social Sciences,Engineering and Computer Science
